,MEHP950101,KOSJ950113,KOSJ950110,OVEJ920103,DAYM780302,MUET010101,LUTR910102,DOSZ010104,FEND850101,LUTR910107,KOSJ950104,OVEJ920105,LUTR910108,GONG920101,ALTS910101,PRLA000101,NGPC000101,PRLA000102,BENS940102,GRAR740104,RUSR970103,KOSJ950115,TUDE900101,FITW660101,LUTR910106,KOSJ950112,OGAK980101,NIEK910101,JOHM930101,AZAE970102,LUTR910101,GEOD900101,AZAE970101,LUTR910105,MOHR870101,BENS940104,KOSJ950105,BENS940101,KOSJ950107,MEHP950102,NAOD960101,DAYM780301,MEHP950103,KAPO950101,LEVJ860101,BENS940103,KOSJ950106,MCLA720101,HENS920104,RUSR970102,RIER950101,KOSJ950109,MUET020102,VOGG950101,NIEK910102,OVEJ920101,MCLA710101,MIYT790101,DOSZ010102,OVEJ920102,CSEM940101,LINK010101,RUSR970101,LUTR910103,HENS920102,HENS920101,JOND920103,LUTR910109,KOSJ950108,WEIL970101,MIYS930101,KANM000101,JOND940101,QUIB020101,DOSZ010103,RISJ880101,BLAJ010101,CROG050101,KOSJ950103,MUET020101,KOSJ950101,KOSJ950102,KOSJ950111,OVEJ920104,KOLA920101,HENS920103,LUTR910104,WEIL970102,GIAG010101,DOSZ010101,KOSJ950114
I-Y,0.68,0.6,0.5,0.034,-5.0,-2.5,0.0,0.26,3.0,-2.0,0.5,0.038,-11.0,-0.7,-2.0,0.08,-3.0,-0.08,-2.2,33.0,2.0,0.3,29.0,2.0,-16.0,0.3,-7.4,0.13,-2.5,3.0,-3.0,9.0,2.0,-10.0,10.0,-1.6,0.4,-3.3,0.1,1.51,2.0,-1.0,0.65,17.6,0.0,-1.0,0.3,1.0,-2.0,0.0,85.0,0.3,-1.0,4.5,0.15,-1.0,3.0,0.86,1.5,0.03,0.43,0.009000000000000001,3.0,-14.0,-2.0,0.0,-2.0,-15.0,0.1,0.0,-0.35,-8.0,-4.0,0.2,4.0,0.4,-2.0,-1.0,0.9,-2.0,0.1,1.5,0.5,0.03,0.0,-3.0,-4.0,1.0,0.0,24.1,0.2
K-A,1.29,3.8,1.6,0.024,-6.0,-5.5,6.0,-1.38,3.0,1.0,3.5,0.013999999999999999,-6.0,-0.4,-2.0,-0.38,-7.0,-1.22,-1.0,106.0,1.0,2.9,2.0,2.0,4.0,3.4,-6.7,0.55,-0.9,1.0,-1.0,5.0,1.0,-6.0,10.0,-1.9,0.1,-1.9,1.0,0.65,0.0,-1.0,1.06,17.1,0.0,-0.4,0.6,0.0,-2.0,1.0,35.0,3.1,-1.0,4.8,0.6,-1.0,3.0,2.96,-4.52,0.053,-0.07,0.05,1.0,-10.0,-1.0,-1.0,-1.0,-3.0,0.8,-1.0,-0.2,-10.0,-2.0,-0.2,2.7,1.4,0.0,-2.0,4.7,-1.0,4.1,1.6,3.8,0.062,6.6,-1.0,1.0,0.0,1.8,5.3,1.8
K-C,1.31,0.2,0.4,0.011000000000000001,-12.0,-7.0,-22.0,-3.8,0.0,-19.0,0.1,0.01,-6.0,-2.8,-7.0,-2.19,-10.0,-6.65,-3.3,202.0,2.0,0.1,-14.0,3.0,2.0,0.0,-8.5,-0.25,-8.7,-10.0,-16.0,4.0,-11.0,-32.0,9.0,-3.2,0.1,-2.8,0.1,0.79,-7.0,-5.0,0.68,9.83,0.0,-2.9,0.1,0.0,-6.0,0.0,33.0,0.1,-2.0,2.4,-0.31,-4.0,0.0,3.27,-12.46,0.006999999999999999,-0.43,0.001,-1.0,-4.0,-5.0,-3.0,-3.0,-23.0,0.1,-2.0,-0.81,-29.0,-3.0,-3.0,-0.7,-1.6,-23.0,-4.0,0.1,-4.0,0.1,0.7,0.0,0.006999999999999999,0.0,-6.0,-2.0,1.0,0.0,20.3,0.0
K-D,1.18,1.6,0.4,0.021,-4.0,-5.0,13.0,0.7,3.0,1.0,3.3,0.0,2.0,0.5,-1.0,0.66,-5.0,1.53,0.2,101.0,2.0,1.4,10.0,2.0,30.0,2.7,-6.9,0.13,-1.5,11.0,-2.0,9.0,16.0,-2.0,11.0,0.3,0.1,-0.2,1.1,0.64,7.0,0.0,1.38,18.2,0.0,0.4,0.1,0.0,-2.0,1.0,98.0,1.7,0.0,5.7,0.14,-1.0,3.0,2.05,0.73,0.044000000000000004,0.18,0.039,0.0,-4.0,-1.0,0.0,0.0,8.0,0.1,-1.0,0.16,-4.0,3.0,1.4,-0.3,0.1,0.0,0.0,1.3,0.0,1.3,0.4,1.2,0.039,5.0,-2.0,9.0,0.0,0.7,-7.3,0.5
K-E,1.22,4.9,2.2,0.099,-4.0,-7.5,13.0,2.39,4.0,5.0,4.4,0.005,3.0,1.2,-1.0,1.11,-4.0,3.08,1.0,56.0,3.0,4.3,24.0,1.0,10.0,3.9,-6.7,0.5,1.1,13.0,3.0,9.0,17.0,2.0,11.0,2.0,2.8,0.9,0.1,0.78,9.0,0.0,0.93,19.2,0.0,1.2,0.2,0.0,2.0,4.0,96.0,6.0,1.0,6.4,0.58,1.0,4.0,1.14,0.77,0.081,0.54,0.07,2.0,-4.0,1.0,1.0,1.0,10.0,0.2,-1.0,0.25,14.0,1.0,1.2,2.4,1.4,6.0,1.0,4.4,1.0,5.8,2.4,3.6,0.07200000000000001,9.0,1.0,14.0,-2.0,1.7,-8.7,1.8
K-F,0.78,0.4,0.4,0.015,-12.0,-5.5,-30.0,-4.67,0.0,-29.0,0.8,0.002,-34.0,-3.3,-6.0,-2.41,-7.0,-6.19,-5.1,102.0,-1.0,0.5,-26.0,3.0,-14.0,0.6,-8.8,-0.16,-5.6,-10.0,-26.0,1.0,-11.0,-11.0,6.0,-2.8,0.1,-6.3,0.1,1.11,-7.0,-5.0,1.33,9.68,-1.0,-3.6,0.1,0.0,-8.0,-4.0,22.0,0.0,-3.0,1.9,-0.18,-3.0,0.0,2.85,-8.79,0.02,-0.41,0.008,0.0,-30.0,-5.0,-3.0,-5.0,-14.0,0.1,-2.0,-1.03,-29.0,-5.0,-2.8,-1.3,0.1,-8.0,-4.0,0.5,-5.0,0.1,0.6,0.5,0.032,5.0,-5.0,-23.0,1.0,-0.7,7.0,0.6
K-G,1.05,1.2,0.3,0.006999999999999999,-6.0,-4.5,2.0,-1.25,2.0,-12.0,1.8,0.004,-1.0,-1.1,-3.0,-0.71,-5.0,-1.82,-1.0,127.0,1.0,1.1,-11.0,2.0,-2.0,2.0,-6.8,-0.34,-3.5,0.0,-15.0,5.0,-1.0,-1.0,7.0,-2.2,0.8,-1.4,1.7,0.76,0.0,-2.0,1.43,15.6,0.0,-1.1,0.1,0.0,-4.0,0.0,39.0,1.1,-1.0,4.1,-0.38,-3.0,3.0,3.54,-0.31,0.040999999999999995,-0.23,0.019,2.0,-4.0,-2.0,-2.0,-1.0,0.0,5.1,-1.0,-0.16,-18.0,-1.0,0.4,-1.0,-0.1,0.0,-2.0,1.3,-2.0,1.1,0.3,1.4,0.027000000000000003,0.0,-3.0,2.0,1.0,0.5,-7.3,1.7
K-H,1.1,1.3,1.2,0.07,-5.0,-5.5,6.0,-0.51,3.0,-6.0,0.8,0.002,-2.0,0.6,-2.0,0.31,-5.0,-0.17,0.8,32.0,3.0,1.2,-4.0,2.0,14.0,1.3,-7.6,-0.23,0.1,2.0,-8.0,5.0,3.0,-19.0,11.0,0.6,0.1,0.9,0.1,0.82,1.0,0.0,1.15,15.5,0.0,0.6,1.5,0.0,0.0,1.0,64.0,1.1,0.0,5.8,-0.26,0.0,4.0,0.79,-1.81,0.044000000000000004,-0.09,0.013000000000000001,2.0,-6.0,-1.0,-1.0,1.0,-1.0,2.1,0.0,0.14,-7.0,4.0,1.1,1.6,-1.0,1.0,-1.0,1.6,0.0,1.2,0.7,1.3,0.068,0.0,-1.0,-9.0,1.0,0.4,-1.5,1.5
K-I,0.94,0.4,1.0,0.013000000000000001,-5.0,-5.5,-5.0,-4.23,2.0,-11.0,0.1,0.003,-12.0,-2.1,-2.0,-1.81,-7.0,-4.82,-3.0,102.0,-5.0,0.4,-17.0,2.0,-13.0,0.4,-8.1,-0.17,-4.7,-12.0,-10.0,3.0,-13.0,-9.0,4.0,0.7,0.1,-3.8,0.1,1.11,-9.0,-2.0,0.91,14.2,-1.0,-2.3,1.5,0.0,-6.0,-6.0,26.0,0.5,-2.0,3.1,-0.18,-3.0,1.0,2.84,-10.93,0.026000000000000002,-0.4,0.018000000000000002,-4.0,-11.0,-4.0,-3.0,-3.0,-14.0,1.4,-2.0,-1.01,-31.0,-4.0,-1.5,0.4,1.0,-7.0,-4.0,0.1,-4.0,0.3,0.8,0.1,0.039,0.0,-5.0,-1.0,1.0,0.6,8.5,1.6
K-L,1.07,1.4,1.1,0.017,-7.0,-6.0,-15.0,-3.83,2.0,-15.0,2.5,0.003,-21.0,-2.1,-4.0,-1.96,-7.0,-5.91,-3.3,107.0,-2.0,1.4,-33.0,2.0,-11.0,1.3,-7.2,0.31,-3.4,-9.0,-11.0,3.0,-10.0,-14.0,7.0,-2.0,4.2,-4.1,0.1,0.99,-7.0,-3.0,0.84,12.1,-1.0,-2.4,0.7,0.0,-6.0,-4.0,27.0,1.4,-2.0,3.1,0.36,-2.0,2.0,2.98,-9.6,0.028999999999999998,-0.34,0.019,0.0,-21.0,-4.0,-3.0,-3.0,-13.0,0.1,-2.0,-1.06,-21.0,-4.0,-2.0,0.8,0.7,-4.0,-3.0,1.4,-3.0,1.0,1.3,1.5,0.05,9.0,-4.0,-8.0,0.0,0.7,7.0,4.8
K-M,0.99,0.4,0.3,0.012,-1.0,-5.5,-11.0,-3.1,2.0,-10.0,0.5,0.004,-8.0,-1.4,0.0,-1.62,-6.0,-5.47,-2.0,95.0,0.0,0.5,-19.0,1.0,6.0,0.4,-8.2,0.05,-1.9,-5.0,-8.0,3.0,-4.0,-5.0,8.0,1.6,2.3,-2.9,1.1,1.03,-4.0,0.0,0.97,15.4,-1.0,-1.5,0.1,0.0,-4.0,-1.0,24.0,1.0,-1.0,3.8,0.09,-1.0,1.0,2.63,-7.07,0.059000000000000004,-0.16,0.004,1.0,-7.0,-2.0,-1.0,-2.0,-4.0,0.1,0.0,-1.03,-12.0,-1.0,-0.5,1.0,0.4,-4.0,-2.0,0.5,-2.0,0.4,0.1,0.6,0.077,5.0,-3.0,-3.0,1.0,0.8,7.2,1.1
K-N,1.14,2.3,1.5,0.06,0.0,-3.5,10.0,0.6,4.0,2.0,2.2,0.021,3.0,0.8,1.0,0.83,-2.0,1.64,1.0,94.0,0.0,2.3,17.0,1.0,16.0,1.7,-6.8,-0.19,0.1,10.0,-1.0,6.0,12.0,-1.0,11.0,3.5,3.4,1.0,5.9,0.72,6.0,1.0,1.3,17.7,1.0,0.9,0.1,0.0,0.0,1.0,75.0,3.2,1.0,6.0,-0.22,0.0,4.0,1.84,1.66,0.073,0.22,0.034,1.0,-2.0,0.0,0.0,1.0,7.0,1.5,0.0,0.38,1.0,5.0,1.6,0.8,1.0,2.0,0.0,2.6,0.0,3.5,2.1,2.7,0.055,0.0,0.0,6.0,0.0,2.4,-4.4,1.6
K-P,0.67,0.9,0.5,0.052000000000000005,-6.0,-4.5,-5.0,0.1,2.0,-8.0,2.6,0.013999999999999999,-1.0,-0.6,-2.0,-0.19,-4.0,-1.21,-1.6,103.0,1.0,1.2,-2.0,2.0,-16.0,1.9,-7.5,0.04,-0.6,1.0,-9.0,3.0,5.0,-12.0,6.0,-1.5,0.1,-2.3,0.1,0.92,3.0,-1.0,2.08,16.8,0.0,-0.8,0.4,0.0,-2.0,0.0,46.0,0.5,0.0,4.6,0.04,-1.0,3.0,2.94,-1.43,0.045,-0.17,0.022000000000000002,4.0,-8.0,-2.0,-1.0,-2.0,-14.0,0.8,0.0,-0.14,-10.0,-4.0,0.2,-0.2,-0.7,1.0,-1.0,0.5,-1.0,0.2,0.5,0.4,0.045,0.0,-2.0,3.0,1.0,0.1,-8.2,0.4
K-Q,1.21,4.6,3.2,0.06,-2.0,-2.0,10.0,2.13,4.0,6.0,3.9,0.008,4.0,1.5,0.0,0.92,-1.0,3.24,2.2,53.0,4.0,4.1,26.0,1.0,22.0,3.2,-6.7,0.16,1.1,16.0,5.0,6.0,22.0,4.0,12.0,2.2,0.9,2.5,2.6,0.75,7.0,1.0,1.02,22.0,0.0,1.7,2.2,1.0,4.0,4.0,71.0,4.3,2.0,6.7,0.23,1.0,4.0,1.06,0.93,0.094,0.52,0.057,3.0,-1.0,2.0,1.0,2.0,12.0,0.1,0.0,0.3,15.0,6.0,2.2,3.9,1.7,4.0,1.0,5.9,2.0,3.7,3.3,5.4,0.077,9.0,2.0,9.0,-1.0,1.9,-5.7,1.3
K-R,1.11,7.9,9.8,0.139,1.0,-0.5,10.0,3.49,5.0,7.0,6.0,0.145,9.0,2.7,2.0,1.42,-1.0,3.89,3.9,26.0,3.0,8.1,24.0,1.0,22.0,6.0,-6.6,0.14,3.2,14.0,6.0,10.0,21.0,9.0,11.0,-0.2,5.3,4.3,5.8,0.84,9.0,3.0,1.08,21.9,1.0,2.9,10.7,3.0,6.0,6.0,78.0,8.0,3.0,7.9,0.21,2.0,5.0,0.4,1.87,0.163,0.47,0.107,4.0,5.0,3.0,3.0,4.0,14.0,7.1,2.0,0.04,31.0,9.0,3.4,4.6,2.1,7.0,2.0,8.1,4.0,8.3,8.1,8.2,0.122,9.0,3.0,22.0,0.0,-3.4,-3.0,5.4
K-S,0.98,3.0,1.7,0.026000000000000002,-3.0,-5.0,8.0,-0.01,3.0,1.0,3.2,0.013000000000000001,1.0,0.1,-1.0,-0.06,-5.0,-0.27,-0.4,121.0,0.0,2.5,-10.0,2.0,11.0,2.8,-6.6,-0.18,-1.5,4.0,-1.0,6.0,6.0,-4.0,10.0,-1.5,1.1,-1.2,0.6,0.89,3.0,0.0,1.32,16.6,0.0,0.0,0.7,0.0,0.0,0.0,41.0,2.3,0.0,5.3,-0.21,-1.0,3.0,2.71,-0.17,0.040999999999999995,-0.24,0.044000000000000004,0.0,-3.0,0.0,-1.0,-1.0,4.0,1.1,0.0,-0.14,3.0,-1.0,1.4,1.2,1.4,1.0,-1.0,2.9,-1.0,2.7,2.6,2.8,0.043,5.0,-1.0,5.0,0.0,2.6,-1.7,1.1
K-T,0.88,3.2,3.4,0.051,-2.0,-5.0,6.0,-1.31,4.0,-2.0,2.6,0.006999999999999999,0.0,0.1,-1.0,-0.1,-6.0,-0.37,-0.4,78.0,1.0,2.6,-8.0,1.0,7.0,1.9,-6.3,-0.33,-0.2,2.0,-3.0,5.0,7.0,-1.0,9.0,1.0,1.5,-1.1,3.9,1.09,2.0,0.0,1.12,17.6,0.0,0.1,1.7,0.0,-2.0,2.0,38.0,3.1,0.0,5.3,-0.38,0.0,3.0,2.1,-1.43,0.054000000000000006,-0.24,0.057,-2.0,-3.0,-1.0,-1.0,-1.0,4.0,0.1,0.0,0.09,-8.0,-2.0,1.0,0.6,1.2,1.0,-1.0,2.0,-1.0,3.7,4.6,2.1,0.059000000000000004,5.0,-1.0,5.0,1.0,1.4,-5.6,2.8
K-V,0.99,1.4,0.9,0.01,-8.0,-7.0,-4.0,-4.37,3.0,-9.0,1.0,0.004,-13.0,-1.7,-4.0,-1.27,-8.0,-3.57,-2.7,97.0,0.0,1.4,-14.0,2.0,-12.0,1.3,-6.7,-0.13,-3.7,-13.0,-9.0,3.0,-14.0,-8.0,5.0,-2.1,2.0,-3.8,0.1,1.06,-8.0,-2.0,0.89,13.5,-1.0,-1.9,0.9,0.0,-6.0,-2.0,29.0,1.7,-2.0,3.5,-0.16,-3.0,2.0,2.7,-10.05,0.026000000000000002,-0.36,0.019,0.0,-11.0,-3.0,-2.0,-3.0,-10.0,3.0,-3.0,-0.79,-23.0,-4.0,-1.0,0.0,1.2,-6.0,-3.0,1.5,-3.0,1.9,0.9,1.1,0.044000000000000004,0.0,-4.0,-4.0,-1.0,1.1,10.9,3.7
K-W,0.74,0.1,0.4,0.004,-10.0,-5.5,-21.0,-3.05,1.0,-21.0,0.1,0.0,-43.0,-3.5,-5.0,-1.94,-8.0,-5.45,-3.7,110.0,0.0,0.1,-10.0,2.0,-11.0,0.2,-9.5,0.02,-5.4,-7.0,-19.0,0.0,-8.0,-14.0,7.0,-3.0,0.1,-1.4,0.1,1.11,-5.0,-3.0,1.44,7.79,-1.0,-3.6,0.1,0.0,-6.0,-2.0,33.0,0.5,-3.0,1.7,0.02,-3.0,1.0,3.11,-8.02,0.040999999999999995,-0.22,0.002,3.0,-31.0,-4.0,-2.0,-3.0,-15.0,0.1,-2.0,-0.92,-30.0,3.0,-3.0,-1.1,-1.1,-7.0,-3.0,0.1,-5.0,0.1,0.3,0.0,0.037000000000000005,0.0,-6.0,-23.0,1.0,0.0,5.8,0.2
K-Y,0.79,0.3,0.6,0.017,-8.0,-3.5,-1.0,-3.23,1.0,-12.0,0.1,0.006,-20.0,-2.1,-6.0,-1.72,-4.0,-4.03,-3.6,85.0,0.0,0.3,-21.0,2.0,11.0,0.2,-7.3,-0.43,-3.7,-4.0,-16.0,2.0,-3.0,-14.0,7.0,-0.8,1.4,-4.0,0.1,1.18,-3.0,-4.0,1.13,14.7,-1.0,-2.4,0.4,0.0,-4.0,0.0,41.0,0.4,-2.0,3.1,-0.48,-2.0,1.0,2.42,-8.13,0.027999999999999997,-0.2,0.01,0.0,-25.0,-3.0,-1.0,-3.0,-5.0,0.1,-2.0,-0.12,-17.0,1.0,-1.5,0.2,0.5,-5.0,-3.0,0.5,-3.0,0.2,0.1,0.4,0.035,0.0,-4.0,-13.0,0.0,0.1,8.1,1.1
L-A,1.19,0.7,0.8,0.057,-5.0,0.0,-10.0,-0.88,2.0,-3.0,0.7,0.048,-19.0,-1.2,-3.0,-0.39,-1.0,-1.09,-1.7,96.0,2.0,0.9,-6.0,2.0,-6.0,0.8,-6.7,0.51,-3.3,0.0,1.0,8.0,-2.0,-7.0,11.0,-2.3,0.7,-1.3,1.6,0.97,0.0,-2.0,0.57,13.6,0.0,-1.4,0.6,0.0,-4.0,0.0,93.0,0.7,-1.0,4.0,0.54,-2.0,2.0,2.76,-2.74,0.038,0.2,0.027000000000000003,3.0,-18.0,-2.0,-1.0,-1.0,-7.0,0.8,0.0,-0.45,-7.0,-2.0,-0.2,3.6,1.3,-2.0,-2.0,0.7,-2.0,0.8,1.0,1.3,0.027999999999999997,5.0,-3.0,-14.0,1.0,-0.5,13.0,0.6
L-C,1.41,0.2,0.5,0.0,-13.0,1.0,-35.0,0.62,2.0,-10.0,0.3,0.005,-8.0,-1.5,-7.0,-0.31,-2.0,-0.82,-2.6,198.0,2.0,0.3,15.0,2.0,-29.0,0.3,-7.7,-0.27,-8.7,2.0,-1.0,9.0,1.0,-34.0,11.0,-1.3,0.4,-3.8,0.4,0.84,2.0,-6.0,0.28,15.5,0.0,-1.6,0.2,0.0,-4.0,2.0,95.0,0.3,-2.0,3.7,-0.29,-6.0,0.0,1.65,0.73,0.0,0.23,0.006999999999999999,4.0,-3.0,-2.0,-2.0,-3.0,-34.0,0.3,0.0,-0.02,-6.0,-1.0,-1.6,4.2,-1.5,-11.0,-2.0,0.1,-4.0,0.1,0.1,0.2,0.0,0.0,-3.0,-11.0,1.0,-0.2,39.5,0.5
L-D,1.0,0.1,0.1,0.027000000000000003,-11.0,-6.0,-16.0,-4.92,1.0,-14.0,0.2,0.005,-21.0,-4.0,-5.0,-2.65,-5.0,-7.41,-4.9,172.0,-3.0,0.1,-40.0,2.0,-27.0,0.1,-7.1,0.01,-8.0,-10.0,-10.0,3.0,-11.0,-21.0,6.0,-2.4,0.1,-5.3,0.4,0.96,-8.0,-4.0,1.09,12.5,-1.0,-4.2,0.1,0.0,-8.0,-7.0,25.0,0.1,-4.0,1.2,0.01,-6.0,1.0,4.1,-11.26,0.006,-0.55,0.003,-1.0,-18.0,-5.0,-3.0,-4.0,-22.0,0.1,-3.0,-0.75,-43.0,-5.0,-3.4,-5.4,-0.2,-10.0,-5.0,0.1,-6.0,0.1,0.1,0.7,0.01,0.0,-7.0,-20.0,1.0,0.8,-13.3,0.2
L-E,1.01,0.4,0.3,0.031,-8.0,-7.0,-14.0,-4.35,1.0,-8.0,0.4,0.037000000000000005,-18.0,-2.8,-4.0,-2.11,-5.0,-5.62,-4.4,138.0,0.0,0.3,-40.0,2.0,-21.0,0.2,-7.4,0.57,-5.6,-7.0,-4.0,3.0,-8.0,-13.0,7.0,-2.5,0.2,-5.0,0.6,1.12,-6.0,-3.0,0.69,11.4,-1.0,-3.1,0.3,0.0,-6.0,-2.0,31.0,0.3,-3.0,2.4,0.62,-4.0,1.0,3.53,-8.85,0.018000000000000002,-0.45,0.008,-1.0,-16.0,-4.0,-2.0,-4.0,-14.0,0.2,-3.0,-0.8,-31.0,-5.0,-1.5,-3.9,0.9,-8.0,-4.0,0.7,-4.0,0.1,0.5,0.8,0.017,5.0,-6.0,-10.0,0.0,0.4,-12.4,0.6
L-F,0.9,2.8,2.3,0.111,-2.0,2.5,2.0,2.96,4.0,10.0,3.8,0.162,4.0,2.0,0.0,1.23,1.0,3.9,2.2,22.0,4.0,2.8,36.0,1.0,-4.0,3.0,-6.6,-0.08,1.8,6.0,11.0,9.0,5.0,6.0,11.0,2.2,3.3,2.4,2.9,1.27,6.0,2.0,0.63,20.6,0.0,2.1,2.2,2.0,2.0,4.0,94.0,2.9,2.0,7.2,-0.08,2.0,5.0,0.63,1.91,0.21,0.44,0.039,3.0,12.0,1.0,1.0,2.0,1.0,2.8,1.0,0.48,17.0,1.0,3.7,6.8,1.0,3.0,1.0,1.7,2.0,3.5,2.9,2.3,0.09699999999999999,5.0,0.0,-4.0,1.0,-1.0,23.6,2.4
L-G,0.88,0.3,0.3,0.023,-9.0,-2.0,-32.0,-3.46,2.0,-22.0,0.4,0.015,-19.0,-4.4,-5.0,-1.98,-2.0,-6.55,-4.9,138.0,-2.0,0.1,-16.0,1.0,-9.0,0.3,-8.0,-0.54,-7.2,-8.0,-17.0,7.0,-9.0,-21.0,6.0,-2.2,0.1,-4.6,0.5,1.09,-6.0,-4.0,1.1,11.5,-1.0,-4.6,0.3,0.0,-8.0,-4.0,89.0,0.1,-4.0,0.8,-0.56,-5.0,1.0,3.67,-10.47,0.019,-0.14,0.006,-2.0,-15.0,-5.0,-3.0,-4.0,-15.0,0.1,-1.0,-0.56,-42.0,-4.0,-3.8,-2.7,-0.2,-6.0,-5.0,0.3,-6.0,0.2,0.1,0.4,0.013000000000000001,0.0,-7.0,-21.0,3.0,0.1,-11.5,0.2
L-H,1.08,0.6,0.6,0.031,-5.0,-4.0,-18.0,-2.92,3.0,-10.0,0.6,0.022000000000000002,-14.0,-1.9,-3.0,-0.93,-4.0,-2.49,-2.1,99.0,2.0,0.4,-9.0,1.0,-15.0,0.6,-8.1,-0.09,-4.2,-4.0,-6.0,8.0,-5.0,-9.0,10.0,-0.1,0.4,-2.2,0.9,1.07,-3.0,-2.0,0.62,9.07,-1.0,-1.9,0.1,0.0,-6.0,0.0,64.0,0.3,-2.0,3.3,-0.13,-3.0,2.0,2.59,-5.34,0.004,-0.12,0.004,3.0,-12.0,-4.0,-2.0,-2.0,-13.0,0.5,-1.0,-0.5,-27.0,-4.0,-2.4,-0.4,-0.9,-4.0,-3.0,0.4,-3.0,0.2,1.8,0.4,0.024,0.0,-5.0,-10.0,2.0,-0.3,0.9,0.2
L-I,0.99,3.8,4.4,0.14300000000000002,-1.0,3.5,9.0,4.66,5.0,19.0,6.0,0.163,7.0,2.8,1.0,1.56,2.0,3.86,2.7,5.0,5.0,4.7,46.0,1.0,11.0,4.9,-5.5,0.25,2.6,8.0,19.0,10.0,8.0,16.0,10.0,1.2,5.5,2.4,5.8,1.21,7.0,2.0,0.0,21.0,0.0,2.8,4.4,3.0,4.0,7.0,98.0,4.9,3.0,8.0,0.27,2.0,5.0,0.14,6.58,0.139,0.6,0.096,3.0,13.0,2.0,2.0,2.0,13.0,4.0,1.0,0.48,28.0,1.0,3.4,9.7,2.1,7.0,2.0,3.7,3.0,3.4,5.7,4.9,0.094,0.0,2.0,0.0,-1.0,0.3,31.9,5.0
L-K,1.07,0.8,0.3,0.051,-7.0,-6.0,-15.0,-4.37,2.0,-15.0,0.1,0.015,-21.0,-2.1,-4.0,-1.96,-7.0,-5.91,-3.3,107.0,-2.0,0.8,-33.0,2.0,-11.0,0.7,-7.2,0.31,-3.4,-9.0,-11.0,3.0,-10.0,-14.0,7.0,-2.0,0.7,-4.1,0.5,0.99,-7.0,-3.0,0.84,12.1,-1.0,-2.4,0.1,0.0,-6.0,-4.0,27.0,1.0,-2.0,3.1,0.36,-2.0,2.0,2.98,-8.48,0.033,-0.34,0.011000000000000001,0.0,-21.0,-4.0,-3.0,-3.0,-13.0,0.6,-2.0,-1.06,-21.0,-4.0,-2.0,-3.9,0.7,-4.0,-3.0,0.8,-3.0,0.6,0.9,0.4,0.035,9.0,-4.0,-8.0,0.0,-0.7,-12.3,1.1
L-M,1.08,3.5,2.8,0.16899999999999998,1.0,4.0,13.0,3.75,5.0,24.0,3.3,0.25,8.0,2.8,3.0,1.61,2.0,4.32,3.2,15.0,6.0,3.2,24.0,1.0,2.0,3.0,-7.0,0.41,4.4,6.0,24.0,9.0,5.0,12.0,11.0,1.5,3.0,2.9,3.1,1.06,5.0,4.0,0.63,22.4,2.0,2.9,2.8,3.0,6.0,6.0,96.0,2.9,3.0,8.0,0.47,3.0,6.0,0.41,1.62,0.225,0.38,0.042,8.0,13.0,3.0,2.0,3.0,8.0,2.9,2.0,0.5,24.0,1.0,3.1,8.3,1.8,11.0,2.0,4.4,4.0,3.5,2.6,3.9,0.141,6.6,3.0,2.0,0.0,0.2,21.8,3.0
L-N,0.98,0.4,0.2,0.031,-6.0,-3.5,-10.0,-4.99,1.0,-7.0,0.4,0.033,-14.0,-3.0,-4.0,-2.1,-3.0,-5.64,-3.5,153.0,0.0,0.2,-35.0,2.0,-15.0,0.2,-7.7,-0.23,-4.8,-9.0,-4.0,7.0,-9.0,-11.0,7.0,-2.2,0.5,-3.4,0.1,0.97,-7.0,-3.0,1.13,11.7,-1.0,-3.1,0.1,0.0,-8.0,-2.0,52.0,0.5,-3.0,2.2,-0.24,-3.0,1.0,3.49,-9.98,0.033,-0.39,0.011000000000000001,0.0,-12.0,-5.0,-3.0,-3.0,-13.0,0.1,-1.0,-0.9,-32.0,-4.0,-2.4,-4.3,0.8,-7.0,-4.0,0.3,-4.0,0.1,0.7,0.2,0.03,0.0,-6.0,-6.0,2.0,0.5,-10.1,0.4
L-P,0.75,0.5,0.5,0.038,-6.0,-5.0,-36.0,-4.05,3.0,-16.0,1.3,0.031,-21.0,-2.3,-3.0,-1.56,-5.0,-2.88,-1.3,98.0,-2.0,0.3,-16.0,1.0,-3.0,0.9,-6.6,-0.25,-2.8,-9.0,-10.0,9.0,-12.0,3.0,4.0,0.0,0.1,-0.2,0.1,1.21,-8.0,-3.0,1.19,7.28,-1.0,-2.2,0.2,1.0,-8.0,-5.0,81.0,0.2,-2.0,2.9,-0.26,-3.0,1.0,2.7,-8.38,0.016,-0.2,0.013000000000000001,0.0,-24.0,-4.0,-3.0,0.0,-1.0,0.7,0.0,-0.67,-33.0,-1.0,-1.4,-3.8,-0.8,1.0,-3.0,0.6,-3.0,0.1,1.7,0.3,0.03,0.0,-5.0,-7.0,3.0,0.6,-9.2,0.3
